wind_speed,wind_direction,month,day,hour,minute,label
[7.68860482],[123.72129768],[6.57342717],[15.53764378],[11.57855123],[24.98054557],[1404.91334361]
[4.22601644],[92.71575796],[3.33782008],[8.63800029],[6.95051785],[17.07616514],[1309.19416897]
